name,rank
SUNY Binghamton University,601+
Symbiosis International University,601+
Tamkang University,601+
Taras Shevchenko National University of Kyiv,601+
Technical University of Košice,601+
Technical University of Liberec,601+
Technological University Dublin,601+
Universidade Tecnológica Federal do Paraná (UTFPR),601+
Universiti Teknikal Malaysia Melaka,601+
Universiti Teknologi MARA,601+
Telkom University,601+
University of Texas at El Paso,601+
University of Texas Rio Grande Valley,601+
The University of Texas at San Antonio,601+
Texas State University,601+
Texas Tech University,601+
University of Toledo,601+
University of Trás-os-Montes and Alto Douro,601+
Tshwane University of Technology,601+
Universiti Tunku Abdul Rahman (UTAR),601+
UiT The Arctic University of Norway,601+
Ulster University,601+
Unisinos University,601+
Universiti Tun Hussein Onn Malaysia (UTHM),601+
University College Cork,601+
University of Valladolid,601+
Vietnam National University (Ho Chi Minh City),601+
University of Vigo,601+
Vilnius University,601+
VIT University,601+
VSB - Technical University of Ostrava,601+
University of Warsaw,601+
Wayne State University,601+
Western Michigan University,601+
University of Wolverhampton,601+
Wuhan University of Technology,601+
University of Wyoming,601+
University of Zagreb,601+
